timestamp,reflectivity_max,reflectivity_mean,brightness_temp_min,motion_vector_x,motion_vector_y,temperature,dew_point,pressure,wind_speed,wind_gust,wind_direction,visibility,rain
2025-09-13 09:30:00,,,,,,32.0,21.0,1007.0,5.0,,320.0,1309.0,0.0
2025-09-13 16:05:00,254.0,194.82765101317975,,,,32.0,21.0,1007.0,5.0,,320.0,1309.0,0.0
2025-09-13 16:10:00,254.0,196.6707141652411,,,,32.0,21.0,1007.0,5.0,,320.0,1309.0,0.0
2025-09-13 16:15:00,254.0,197.41667710767896,,,,32.0,21.0,1007.0,5.0,,320.0,1309.0,0.0
2025-09-13 16:20:00,254.0,194.2989952533552,,,,32.0,21.0,1007.0,5.0,,320.0,1309.0,0.0
2025-09-13 16:25:00,254.0,197.56221718911883,,,,32.0,21.0,1007.0,5.0,,320.0,1309.0,0.0
2025-09-13 16:30:00,254.0,196.58708406621207,,,,32.0,21.0,1007.0,5.0,,320.0,1309.0,0.0
2025-09-13 16:35:00,254.0,196.05790982230357,,,,32.0,21.0,1007.0,5.0,,320.0,1309.0,0.0
2025-09-13 17:00:00,254.0,196.05790982230357,,,,32.0,21.0,1007.0,5.0,,320.0,1309.0,0.0
2025-09-13 17:05:00,254.0,196.05790982230357,23.0,0.3287331423320425,0.3132995251304298,32.0,21.0,1007.0,5.0,,320.0,1309.0,0.0
2025-09-13 17:10:00,254.0,196.05790982230357,23.0,0.3287331423320425,0.3132995251304298,32.0,21.0,1007.0,5.0,,320.0,1309.0,0.0
2025-09-13 17:15:00,254.0,196.05790982230357,23.0,0.3287331423320425,0.3132995251304298,32.0,21.0,1007.0,5.0,,320.0,1309.0,0.0
2025-09-13 17:20:00,254.0,196.05790982230357,23.0,0.3287331423320425,0.3132995251304298,32.0,21.0,1007.0,5.0,,320.0,1309.0,0.0
2025-09-13 17:25:00,254.0,196.05790982230357,23.0,0.3287331423320425,0.3132995251304298,32.0,21.0,1007.0,5.0,,320.0,1309.0,0.0
2025-09-13 17:30:00,254.0,196.05790982230357,23.0,0.3287331423320425,0.3132995251304298,32.0,21.0,1007.0,5.0,,320.0,1309.0,0.0
2025-09-13 17:35:00,254.0,196.05790982230357,0.0,0.6128261611816417,0.869727343877422,32.0,21.0,1007.0,5.0,,320.0,1309.0,0.0
2025-09-13 17:40:00,254.0,196.05790982230357,0.0,0.6128261611816417,0.869727343877422,32.0,21.0,1007.0,5.0,,320.0,1309.0,0.0
2025-09-13 17:45:00,254.0,196.05790982230357,0.0,0.6128261611816417,0.869727343877422,32.0,21.0,1007.0,5.0,,320.0,1309.0,0.0
