timestamp,reflectivity_max,reflectivity_mean,brightness_temp_min,motion_vector_x,motion_vector_y,temperature,dew_point,pressure,wind_speed,wind_gust,wind_direction,visibility,rain,last_updated_epoch,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree,wind_direction_weather,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,last_updated_epoch_air,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,last_updated_epoch_loc,country,location_name,region,latitude,longitude,timezone,last_updated
2023-08-25 22:55:00,,,,,,,,,,,,,,1693004100.0,26.0,78.8,2.5,4.0,100.0,E,1007.0,29.74,18.2,0.72,94.0,75.0,30.0,86.1,3.5,2.0,1.0,18.1,29.2,1693004100.0,186.9,30.8,2.7,1.4,1.0,1.9,1.0,1.0,1693004100.0,India,Ernakulam,Kerala,9.98,76.28,Asia/Kolkata,2023-09-05 05:00:00
2023-08-25 23:00:00,,,,,,,,,,,,,,1693004400.0,26.8,80.2,7.8,12.6,57.0,ENE,1002.0,29.6,0.0,0.0,76.0,44.0,29.5,85.1,10.0,6.0,1.0,11.9,19.1,1693004400.0,761.0,60.8,1.9,0.6,53.7,56.1,3.0,6.0,1693004400.0,India,Sheopur,Madhya Pradesh,25.67,76.7,Asia/Kolkata,2023-09-06 04:45:00
2023-08-25 23:05:00,,,,,,,,,,,,,,1693004700.0,21.0,69.8,11.9,19.1,260.0,W,1010.0,29.83,0.0,0.0,88.0,75.0,21.0,69.8,6.0,3.0,1.0,16.8,27.0,1693004700.0,207.0,22.2,3.3,1.0,1.1,2.0,1.0,1.0,1693004700.0,India,Kolar,Karnataka,13.13,78.13,Asia/Kolkata,2023-09-06 05:00:00
2023-08-25 23:10:00,,,,,,,,,,,,,,1693005000.0,24.9,76.8,2.2,3.6,152.0,SSE,1004.0,29.66,0.0,0.0,70.0,5.0,26.5,79.7,10.0,6.0,1.0,2.7,4.3,1693005000.0,514.0,25.8,9.8,0.9,24.7,30.5,2.0,3.0,1693005000.0,India,Udaipur,Rajasthan,27.72,75.48,Asia/Kolkata,2023-09-07 04:30:00
2023-08-25 23:15:00,,,,,,,,,,,,,,1693005300.0,26.0,78.8,3.8,6.1,40.0,NE,1002.0,29.59,0.1,0.0,100.0,75.0,29.4,84.9,3.5,2.0,1.0,4.5,7.2,1693005300.0,387.2,12.5,4.9,1.6,12.7,14.7,1.0,2.0,1693005300.0,India,Cuttack,Orissa,20.5,85.83,Asia/Kolkata,2023-09-07 04:45:00
2023-08-25 23:20:00,,,,,,,,,,,,,,1693005600.0,28.0,82.4,4.3,6.8,90.0,E,1002.0,29.59,0.0,0.0,94.0,100.0,33.0,91.4,2.0,1.0,1.0,12.8,20.5,1693005600.0,447.3,19.7,19.4,19.3,29.7,31.7,2.0,3.0,1693005600.0,India,Arwal,Bihar,25.25,84.68,Asia/Kolkata,2023-09-08 04:30:00
2023-08-25 23:25:00,,,,,,,,,,,,,,1693005900.0,26.3,79.3,7.8,12.6,103.0,ESE,1003.0,29.61,0.0,0.0,84.0,47.0,29.5,85.1,10.0,6.0,1.0,13.6,22.0,1693005900.0,614.2,49.4,3.4,1.0,11.2,12.3,1.0,1.0,1693005900.0,India,Bahraich,Uttar Pradesh,27.58,81.6,Asia/Kolkata,2023-09-08 04:30:00
2023-08-25 23:30:00,,,,,,,,,,,,,,1693006200.0,27.5,81.5,14.3,23.0,230.0,SW,1009.0,29.8,0.0,0.0,82.0,73.0,31.6,88.9,10.0,6.0,1.0,19.7,31.7,1693006200.0,247.0,53.6,0.4,0.3,3.0,4.8,1.0,1.0,1693006200.0,India,Arong,Andaman and Nicobar Islands,9.17,92.72,Asia/Kolkata,2023-09-09 04:30:00
2023-08-25 23:35:00,,,,,,,,,,,,,,1693006500.0,26.0,78.8,11.4,18.4,54.0,NE,1002.0,29.58,0.0,0.0,87.0,95.0,29.2,84.6,10.0,6.0,1.0,15.2,24.5,1693006500.0,567.4,30.8,5.7,1.4,16.2,16.6,2.0,2.0,1693006500.0,India,Etawah,Uttar Pradesh,26.77,79.03,Asia/Kolkata,2023-09-09 04:30:00
2023-08-25 23:40:00,,,,,,,,,,,,,,1693006800.0,23.5,74.3,2.2,3.6,74.0,ENE,1004.0,29.66,0.8,0.03,98.0,67.0,26.1,79.0,10.0,6.0,1.0,3.4,5.4,1693006800.0,297.1,14.7,3.4,1.4,6.3,6.7,1.0,1.0,1693006800.0,India,Dhalai,Assam,24.6,92.83,Asia/Kolkata,2023-09-10 04:30:00
